Organism,Agrobacterium_tumefaciens,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Bradyrhizobium_japonicum,Brucella_melitensis,Brucella_suis,Buchnera_aphidicola,Campylobacter_jejuni,Candidatus_Blochmannia,Caulobacter_crescentus,Chromobacterium_violaceum,Escherichia_coli,Haemophilus_influenzae,Helicobacter_hepaticus,Mesorhizobium_loti,Neisseria_meningitidis,Nitrosomonas_europaea,Pasteurella_multocida,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Salmonella_enterica,Shewanella_oneidensis,Shigella_flexneri,Sinorhizobium_meliloti,Vibrio_cholerae,Vibrio_parahaemolyticus,Vibrio_vulnificus,Wolinella_succinogenes,Xanthomonas_axonopodis,Xanthomonas_campestris,Xylella_fastidiosa,Yersinia_pestis
Haemophilus_influenzae,3.5,1.5,1.5,2.0,4.0,4.0,4.0,1.0,4.0,1.5,4.0,1.0,1.0,0,3.0,3.5,1.5,1.0,3.5,1.5,1.5,1.5,1.0,1.0,1.5,1.0,2.5,3.5,3.0,2.0,2.5,1.0,1.0,1.0,1.0
Helicobacter_hepaticus,4.5,2.5,2.5,3.0,5.0,5.0,5.0,2.0,5.0,2.5,5.0,2.0,2.0,3.0,0,4.5,2.5,2.0,4.5,2.5,2.5,2.5,2.0,2.0,2.5,2.0,3.5,4.5,4.0,3.0,3.5,2.0,2.0,2.0,2.0
Mesorhizobium_loti,5.0,3.0,3.0,3.5,5.5,5.5,5.5,2.5,5.5,3.0,5.5,2.5,2.5,3.5,4.5,0,3.0,2.5,5.0,3.0,3.0,3.0,2.5,2.5,3.0,2.5,4.0,5.0,4.5,3.5,4.0,2.5,2.5,2.5,2.5
Neisseria_meningitidis,3.0,1.0,1.0,1.5,3.5,3.5,3.5,0.5,3.5,1.0,3.5,0.5,0.5,1.5,2.5,3.0,0,0.5,3.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,2.0,3.0,2.5,1.5,2.0,0.5,0.5,0.5,0.5
Nitrosomonas_europaea,2.5,0.5,0.5,1.0,3.0,3.0,3.0,0.0,3.0,0.5,3.0,0.0,0.0,1.0,2.0,2.5,0.5,0,2.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,1.5,2.5,2.0,1.0,1.5,0.0,0.0,0.0,0.0
Pasteurella_multocida,5.0,3.0,3.0,3.5,5.5,5.5,5.5,2.5,5.5,3.0,5.5,2.5,2.5,3.5,4.5,5.0,3.0,2.5,0,3.0,3.0,3.0,2.5,2.5,3.0,2.5,4.0,5.0,4.5,3.5,4.0,2.5,2.5,2.5,2.5
Pseudomonas_aeruginosa,3.0,1.0,1.0,1.5,3.5,3.5,3.5,0.5,3.5,1.0,3.5,0.5,0.5,1.5,2.5,3.0,1.0,0.5,3.0,0,1.0,1.0,0.5,0.5,1.0,0.5,2.0,3.0,2.5,1.5,2.0,0.5,0.5,0.5,0.5
Pseudomonas_putida,3.0,1.0,1.0,1.5,3.5,3.5,3.5,0.5,3.5,1.0,3.5,0.5,0.5,1.5,2.5,3.0,1.0,0.5,3.0,1.0,0,1.0,0.5,0.5,1.0,0.5,2.0,3.0,2.5,1.5,2.0,0.5,0.5,0.5,0.5
Pseudomonas_syringae,3.0,1.0,1.0,1.5,3.5,3.5,3.5,0.5,3.5,1.0,3.5,0.5,0.5,1.5,2.5,3.0,1.0,0.5,3.0,1.0,1.0,0,0.5,0.5,1.0,0.5,2.0,3.0,2.5,1.5,2.0,0.5,0.5,0.5,0.5
Ralstonia_solanacearum,2.5,0.5,0.5,1.0,3.0,3.0,3.0,0.0,3.0,0.5,3.0,0.0,0.0,1.0,2.0,2.5,0.5,0.0,2.5,0.5,0.5,0.5,0,0.0,0.5,0.0,1.5,2.5,2.0,1.0,1.5,0.0,0.0,0.0,0.0
Salmonella_enterica,2.5,0.5,0.5,1.0,3.0,3.0,3.0,0.0,3.0,0.5,3.0,0.0,0.0,1.0,2.0,2.5,0.5,0.0,2.5,0.5,0.5,0.5,0.0,0,0.5,0.0,1.5,2.5,2.0,1.0,1.5,0.0,0.0,0.0,0.0
Shewanella_oneidensis,3.0,1.0,1.0,1.5,3.5,3.5,3.5,0.5,3.5,1.0,3.5,0.5,0.5,1.5,2.5,3.0,1.0,0.5,3.0,1.0,1.0,1.0,0.5,0.5,0,0.5,2.0,3.0,2.5,1.5,2.0,0.5,0.5,0.5,0.5
Shigella_flexneri,2.5,0.5,0.5,1.0,3.0,3.0,3.0,0.0,3.0,0.5,3.0,0.0,0.0,1.0,2.0,2.5,0.5,0.0,2.5,0.5,0.5,0.5,0.0,0.0,0.5,0,1.5,2.5,2.0,1.0,1.5,0.0,0.0,0.0,0.0
Sinorhizobium_meliloti,4.0,2.0,2.0,2.5,4.5,4.5,4.5,1.5,4.5,2.0,4.5,1.5,1.5,2.5,3.5,4.0,2.0,1.5,4.0,2.0,2.0,2.0,1.5,1.5,2.0,1.5,0,4.0,3.5,2.5,3.0,1.5,1.5,1.5,1.5
Vibrio_cholerae,5.0,3.0,3.0,3.5,5.5,5.5,5.5,2.5,5.5,3.0,5.5,2.5,2.5,3.5,4.5,5.0,3.0,2.5,5.0,3.0,3.0,3.0,2.5,2.5,3.0,2.5,4.0,0,4.5,3.5,4.0,2.5,2.5,2.5,2.5
Vibrio_parahaemolyticus,4.5,2.5,2.5,3.0,5.0,5.0,5.0,2.0,5.0,2.5,5.0,2.0,2.0,3.0,4.0,4.5,2.5,2.0,4.5,2.5,2.5,2.5,2.0,2.0,2.5,2.0,3.5,4.5,0,3.0,3.5,2.0,2.0,2.0,2.0
Vibrio_vulnificus,3.5,1.5,1.5,2.0,4.0,4.0,4.0,1.0,4.0,1.5,4.0,1.0,1.0,2.0,3.0,3.5,1.5,1.0,3.5,1.5,1.5,1.5,1.0,1.0,1.5,1.0,2.5,3.5,3.0,0,2.5,1.0,1.0,1.0,1.0
Wolinella_succinogenes,4.0,2.0,2.0,2.5,4.5,4.5,4.5,1.5,4.5,2.0,4.5,1.5,1.5,2.5,3.5,4.0,2.0,1.5,4.0,2.0,2.0,2.0,1.5,1.5,2.0,1.5,3.0,4.0,3.5,2.5,0,1.5,1.5,1.5,1.5
Xanthomonas_axonopodis,2.5,0.5,0.5,1.0,3.0,3.0,3.0,0.0,3.0,0.5,3.0,0.0,0.0,1.0,2.0,2.5,0.5,0.0,2.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,1.5,2.5,2.0,1.0,1.5,0,0.0,0.0,0.0
Xanthomonas_campestris,2.5,0.5,0.5,1.0,3.0,3.0,3.0,0.0,3.0,0.5,3.0,0.0,0.0,1.0,2.0,2.5,0.5,0.0,2.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,1.5,2.5,2.0,1.0,1.5,0.0,0,0.0,0.0
Xylella_fastidiosa,2.5,0.5,0.5,1.0,3.0,3.0,3.0,0.0,3.0,0.5,3.0,0.0,0.0,1.0,2.0,2.5,0.5,0.0,2.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,1.5,2.5,2.0,1.0,1.5,0.0,0.0,0,0.0
Yersinia_pestis,2.5,0.5,0.5,1.0,3.0,3.0,3.0,0.0,3.0,0.5,3.0,0.0,0.0,1.0,2.0,2.5,0.5,0.0,2.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,1.5,2.5,2.0,1.0,1.5,0.0,0.0,0.0,0
