Organism,Agrobacterium_tumefaciens,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Bradyrhizobium_japonicum,Brucella_melitensis,Brucella_suis,Buchnera_aphidicola,Campylobacter_jejuni,Candidatus_Blochmannia,Caulobacter_crescentus,Chromobacterium_violaceum,Escherichia_coli,Haemophilus_influenzae,Helicobacter_hepaticus,Mesorhizobium_loti,Neisseria_meningitidis,Nitrosomonas_europaea,Pasteurella_multocida,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Salmonella_enterica,Shewanella_oneidensis,Shigella_flexneri,Sinorhizobium_meliloti,Vibrio_cholerae,Vibrio_parahaemolyticus,Vibrio_vulnificus,Xanthomonas_axonopodis,Xanthomonas_campestris,Xylella_fastidiosa,Yersinia_pestis
Caulobacter_crescentus,4.5,5.0,5.0,5.0,3.5,4.5,4.5,4.0,2.5,4.0,0,4.0,2.5,3.5,3.5,4.0,6.5,5.5,4.0,5.5,5.0,4.5,5.0,2.5,4.0,2.5,4.5,4.0,4.0,4.0,4.0,4.0,4.5,4.0
Chromobacterium_violaceum,3.5,4.0,4.0,4.0,2.5,3.5,3.5,3.0,1.5,3.0,4.0,0,1.5,2.5,2.5,3.0,5.5,4.5,3.0,4.5,4.0,3.5,4.0,1.5,3.0,1.5,3.5,3.0,3.0,3.0,3.0,3.0,3.5,3.0
Escherichia_coli,2.0,2.5,2.5,2.5,1.0,2.0,2.0,1.5,0.0,1.5,2.5,1.5,0,1.0,1.0,1.5,4.0,3.0,1.5,3.0,2.5,2.0,2.5,0.0,1.5,0.0,2.0,1.5,1.5,1.5,1.5,1.5,2.0,1.5
Haemophilus_influenzae,3.0,3.5,3.5,3.5,2.0,3.0,3.0,2.5,1.0,2.5,3.5,2.5,1.0,0,2.0,2.5,5.0,4.0,2.5,4.0,3.5,3.0,3.5,1.0,2.5,1.0,3.0,2.5,2.5,2.5,2.5,2.5,3.0,2.5
Helicobacter_hepaticus,3.0,3.5,3.5,3.5,2.0,3.0,3.0,2.5,1.0,2.5,3.5,2.5,1.0,2.0,0,2.5,5.0,4.0,2.5,4.0,3.5,3.0,3.5,1.0,2.5,1.0,3.0,2.5,2.5,2.5,2.5,2.5,3.0,2.5
Mesorhizobium_loti,3.5,4.0,4.0,4.0,2.5,3.5,3.5,3.0,1.5,3.0,4.0,3.0,1.5,2.5,2.5,0,5.5,4.5,3.0,4.5,4.0,3.5,4.0,1.5,3.0,1.5,3.5,3.0,3.0,3.0,3.0,3.0,3.5,3.0
Neisseria_meningitidis,6.0,6.5,6.5,6.5,5.0,6.0,6.0,5.5,4.0,5.5,6.5,5.5,4.0,5.0,5.0,5.5,0,7.0,5.5,7.0,6.5,6.0,6.5,4.0,5.5,4.0,6.0,5.5,5.5,5.5,5.5,5.5,6.0,5.5
Nitrosomonas_europaea,5.0,5.5,5.5,5.5,4.0,5.0,5.0,4.5,3.0,4.5,5.5,4.5,3.0,4.0,4.0,4.5,7.0,0,4.5,6.0,5.5,5.0,5.5,3.0,4.5,3.0,5.0,4.5,4.5,4.5,4.5,4.5,5.0,4.5
Pasteurella_multocida,3.5,4.0,4.0,4.0,2.5,3.5,3.5,3.0,1.5,3.0,4.0,3.0,1.5,2.5,2.5,3.0,5.5,4.5,0,4.5,4.0,3.5,4.0,1.5,3.0,1.5,3.5,3.0,3.0,3.0,3.0,3.0,3.5,3.0
Pseudomonas_aeruginosa,5.0,5.5,5.5,5.5,4.0,5.0,5.0,4.5,3.0,4.5,5.5,4.5,3.0,4.0,4.0,4.5,7.0,6.0,4.5,0,5.5,5.0,5.5,3.0,4.5,3.0,5.0,4.5,4.5,4.5,4.5,4.5,5.0,4.5
Pseudomonas_putida,4.5,5.0,5.0,5.0,3.5,4.5,4.5,4.0,2.5,4.0,5.0,4.0,2.5,3.5,3.5,4.0,6.5,5.5,4.0,5.5,0,4.5,5.0,2.5,4.0,2.5,4.5,4.0,4.0,4.0,4.0,4.0,4.5,4.0
Pseudomonas_syringae,4.0,4.5,4.5,4.5,3.0,4.0,4.0,3.5,2.0,3.5,4.5,3.5,2.0,3.0,3.0,3.5,6.0,5.0,3.5,5.0,4.5,0,4.5,2.0,3.5,2.0,4.0,3.5,3.5,3.5,3.5,3.5,4.0,3.5
Ralstonia_solanacearum,4.5,5.0,5.0,5.0,3.5,4.5,4.5,4.0,2.5,4.0,5.0,4.0,2.5,3.5,3.5,4.0,6.5,5.5,4.0,5.5,5.0,4.5,0,2.5,4.0,2.5,4.5,4.0,4.0,4.0,4.0,4.0,4.5,4.0
Salmonella_enterica,2.0,2.5,2.5,2.5,1.0,2.0,2.0,1.5,0.0,1.5,2.5,1.5,0.0,1.0,1.0,1.5,4.0,3.0,1.5,3.0,2.5,2.0,2.5,0,1.5,0.0,2.0,1.5,1.5,1.5,1.5,1.5,2.0,1.5
Shewanella_oneidensis,3.5,4.0,4.0,4.0,2.5,3.5,3.5,3.0,1.5,3.0,4.0,3.0,1.5,2.5,2.5,3.0,5.5,4.5,3.0,4.5,4.0,3.5,4.0,1.5,0,1.5,3.5,3.0,3.0,3.0,3.0,3.0,3.5,3.0
Shigella_flexneri,2.0,2.5,2.5,2.5,1.0,2.0,2.0,1.5,0.0,1.5,2.5,1.5,0.0,1.0,1.0,1.5,4.0,3.0,1.5,3.0,2.5,2.0,2.5,0.0,1.5,0,2.0,1.5,1.5,1.5,1.5,1.5,2.0,1.5
Sinorhizobium_meliloti,4.0,4.5,4.5,4.5,3.0,4.0,4.0,3.5,2.0,3.5,4.5,3.5,2.0,3.0,3.0,3.5,6.0,5.0,3.5,5.0,4.5,4.0,4.5,2.0,3.5,2.0,0,3.5,3.5,3.5,3.5,3.5,4.0,3.5
Vibrio_cholerae,3.5,4.0,4.0,4.0,2.5,3.5,3.5,3.0,1.5,3.0,4.0,3.0,1.5,2.5,2.5,3.0,5.5,4.5,3.0,4.5,4.0,3.5,4.0,1.5,3.0,1.5,3.5,0,3.0,3.0,3.0,3.0,3.5,3.0
Vibrio_parahaemolyticus,3.5,4.0,4.0,4.0,2.5,3.5,3.5,3.0,1.5,3.0,4.0,3.0,1.5,2.5,2.5,3.0,5.5,4.5,3.0,4.5,4.0,3.5,4.0,1.5,3.0,1.5,3.5,3.0,0,3.0,3.0,3.0,3.5,3.0
Vibrio_vulnificus,3.5,4.0,4.0,4.0,2.5,3.5,3.5,3.0,1.5,3.0,4.0,3.0,1.5,2.5,2.5,3.0,5.5,4.5,3.0,4.5,4.0,3.5,4.0,1.5,3.0,1.5,3.5,3.0,3.0,0,3.0,3.0,3.5,3.0
Xanthomonas_axonopodis,3.5,4.0,4.0,4.0,2.5,3.5,3.5,3.0,1.5,3.0,4.0,3.0,1.5,2.5,2.5,3.0,5.5,4.5,3.0,4.5,4.0,3.5,4.0,1.5,3.0,1.5,3.5,3.0,3.0,3.0,0,3.0,3.5,3.0
Xanthomonas_campestris,3.5,4.0,4.0,4.0,2.5,3.5,3.5,3.0,1.5,3.0,4.0,3.0,1.5,2.5,2.5,3.0,5.5,4.5,3.0,4.5,4.0,3.5,4.0,1.5,3.0,1.5,3.5,3.0,3.0,3.0,3.0,0,3.5,3.0
Xylella_fastidiosa,4.0,4.5,4.5,4.5,3.0,4.0,4.0,3.5,2.0,3.5,4.5,3.5,2.0,3.0,3.0,3.5,6.0,5.0,3.5,5.0,4.5,4.0,4.5,2.0,3.5,2.0,4.0,3.5,3.5,3.5,3.5,3.5,0,3.5
Yersinia_pestis,3.5,4.0,4.0,4.0,2.5,3.5,3.5,3.0,1.5,3.0,4.0,3.0,1.5,2.5,2.5,3.0,5.5,4.5,3.0,4.5,4.0,3.5,4.0,1.5,3.0,1.5,3.5,3.0,3.0,3.0,3.0,3.0,3.5,0
