Organism,Agrobacterium_tumefaciens,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Bradyrhizobium_japonicum,Brucella_melitensis,Brucella_suis,Buchnera_aphidicola,Campylobacter_jejuni,Caulobacter_crescentus,Chromobacterium_violaceum,Escherichia_coli,Haemophilus_influenzae,Helicobacter_hepaticus,Mesorhizobium_loti,Nitrosomonas_europaea,Pasteurella_multocida,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Salmonella_enterica,Shewanella_oneidensis,Shigella_flexneri,Sinorhizobium_meliloti,Vibrio_cholerae,Vibrio_parahaemolyticus,Vibrio_vulnificus,Wolinella_succinogenes,Xanthomonas_axonopodis,Xanthomonas_campestris,Xylella_fastidiosa,Yersinia_pestis
Mesorhizobium_loti,3.5,4.5,3.5,4.5,4.5,4.0,4.0,5.0,3.5,5.0,3.5,2.0,3.5,5.5,0,4.5,3.0,5.0,4.0,4.0,4.0,4.0,3.5,5.0,4.0,5.0,4.5,4.0,4.5,6.0,4.5,3.5,5.0
Nitrosomonas_europaea,4.0,5.0,4.0,5.0,5.0,4.5,4.5,5.5,4.0,5.5,4.0,2.5,4.0,6.0,4.5,0,3.5,5.5,4.5,4.5,4.5,4.5,4.0,5.5,4.5,5.5,5.0,4.5,5.0,6.5,5.0,4.0,5.5
Pasteurella_multocida,2.5,3.5,2.5,3.5,3.5,3.0,3.0,4.0,2.5,4.0,2.5,1.0,2.5,4.5,3.0,3.5,0,4.0,3.0,3.0,3.0,3.0,2.5,4.0,3.0,4.0,3.5,3.0,3.5,5.0,3.5,2.5,4.0
Pseudomonas_aeruginosa,4.5,5.5,4.5,5.5,5.5,5.0,5.0,6.0,4.5,6.0,4.5,3.0,4.5,6.5,5.0,5.5,4.0,0,5.0,5.0,5.0,5.0,4.5,6.0,5.0,6.0,5.5,5.0,5.5,7.0,5.5,4.5,6.0
Pseudomonas_putida,3.5,4.5,3.5,4.5,4.5,4.0,4.0,5.0,3.5,5.0,3.5,2.0,3.5,5.5,4.0,4.5,3.0,5.0,0,4.0,4.0,4.0,3.5,5.0,4.0,5.0,4.5,4.0,4.5,6.0,4.5,3.5,5.0
Pseudomonas_syringae,3.5,4.5,3.5,4.5,4.5,4.0,4.0,5.0,3.5,5.0,3.5,2.0,3.5,5.5,4.0,4.5,3.0,5.0,4.0,0,4.0,4.0,3.5,5.0,4.0,5.0,4.5,4.0,4.5,6.0,4.5,3.5,5.0
Ralstonia_solanacearum,3.5,4.5,3.5,4.5,4.5,4.0,4.0,5.0,3.5,5.0,3.5,2.0,3.5,5.5,4.0,4.5,3.0,5.0,4.0,4.0,0,4.0,3.5,5.0,4.0,5.0,4.5,4.0,4.5,6.0,4.5,3.5,5.0
Salmonella_enterica,3.5,4.5,3.5,4.5,4.5,4.0,4.0,5.0,3.5,5.0,3.5,2.0,3.5,5.5,4.0,4.5,3.0,5.0,4.0,4.0,4.0,0,3.5,5.0,4.0,5.0,4.5,4.0,4.5,6.0,4.5,3.5,5.0
Shewanella_oneidensis,3.0,4.0,3.0,4.0,4.0,3.5,3.5,4.5,3.0,4.5,3.0,1.5,3.0,5.0,3.5,4.0,2.5,4.5,3.5,3.5,3.5,3.5,0,4.5,3.5,4.5,4.0,3.5,4.0,5.5,4.0,3.0,4.5
Shigella_flexneri,4.5,5.5,4.5,5.5,5.5,5.0,5.0,6.0,4.5,6.0,4.5,3.0,4.5,6.5,5.0,5.5,4.0,6.0,5.0,5.0,5.0,5.0,4.5,0,5.0,6.0,5.5,5.0,5.5,7.0,5.5,4.5,6.0
Sinorhizobium_meliloti,3.5,4.5,3.5,4.5,4.5,4.0,4.0,5.0,3.5,5.0,3.5,2.0,3.5,5.5,4.0,4.5,3.0,5.0,4.0,4.0,4.0,4.0,3.5,5.0,0,5.0,4.5,4.0,4.5,6.0,4.5,3.5,5.0
Vibrio_cholerae,4.5,5.5,4.5,5.5,5.5,5.0,5.0,6.0,4.5,6.0,4.5,3.0,4.5,6.5,5.0,5.5,4.0,6.0,5.0,5.0,5.0,5.0,4.5,6.0,5.0,0,5.5,5.0,5.5,7.0,5.5,4.5,6.0
Vibrio_parahaemolyticus,4.0,5.0,4.0,5.0,5.0,4.5,4.5,5.5,4.0,5.5,4.0,2.5,4.0,6.0,4.5,5.0,3.5,5.5,4.5,4.5,4.5,4.5,4.0,5.5,4.5,5.5,0,4.5,5.0,6.5,5.0,4.0,5.5
Vibrio_vulnificus,3.5,4.5,3.5,4.5,4.5,4.0,4.0,5.0,3.5,5.0,3.5,2.0,3.5,5.5,4.0,4.5,3.0,5.0,4.0,4.0,4.0,4.0,3.5,5.0,4.0,5.0,4.5,0,4.5,6.0,4.5,3.5,5.0
Wolinella_succinogenes,4.0,5.0,4.0,5.0,5.0,4.5,4.5,5.5,4.0,5.5,4.0,2.5,4.0,6.0,4.5,5.0,3.5,5.5,4.5,4.5,4.5,4.5,4.0,5.5,4.5,5.5,5.0,4.5,0,6.5,5.0,4.0,5.5
Xanthomonas_axonopodis,5.5,6.5,5.5,6.5,6.5,6.0,6.0,7.0,5.5,7.0,5.5,4.0,5.5,7.5,6.0,6.5,5.0,7.0,6.0,6.0,6.0,6.0,5.5,7.0,6.0,7.0,6.5,6.0,6.5,0,6.5,5.5,7.0
Xanthomonas_campestris,4.0,5.0,4.0,5.0,5.0,4.5,4.5,5.5,4.0,5.5,4.0,2.5,4.0,6.0,4.5,5.0,3.5,5.5,4.5,4.5,4.5,4.5,4.0,5.5,4.5,5.5,5.0,4.5,5.0,6.5,0,4.0,5.5
Xylella_fastidiosa,3.0,4.0,3.0,4.0,4.0,3.5,3.5,4.5,3.0,4.5,3.0,1.5,3.0,5.0,3.5,4.0,2.5,4.5,3.5,3.5,3.5,3.5,3.0,4.5,3.5,4.5,4.0,3.5,4.0,5.5,4.0,0,4.5
Yersinia_pestis,4.5,5.5,4.5,5.5,5.5,5.0,5.0,6.0,4.5,6.0,4.5,3.0,4.5,6.5,5.0,5.5,4.0,6.0,5.0,5.0,5.0,5.0,4.5,6.0,5.0,6.0,5.5,5.0,5.5,7.0,5.5,4.5,0
